ID,RevenueType,CostCenterGroup,PeriodSortKey,PeriodYear,PeriodMonth,Amount
c6bb944d-0dab-4088-baf5-696f1899000b,Recurring,Other,202404,2024,4,415.32
adf4776f-662a-4e00-b731-08a261f1d70a,Recurring,Other,202404,2024,4,-627.0
96d46c49-cc93-4df0-ba96-722ec8dc47c0,Recurring,Other,202455,2024,,211.68
b887006d-6f2e-4d8e-8c33-dd75c9fc35b0,Recurring,NOI,202411,2024,11,3500.0
33311689-5122-4038-bcb5-ea78d66b45ea,Recurring,NOI,202411,2024,11,984.65
e4ae3541-829c-430f-85e0-733d3f298726,Recurring,NOI,202412,2024,12,-3500.0
dd6b6878-b819-49c6-b960-b269eb633234,One-off,NOI,202401,2024,1,595.0
4bb05c96-bfff-4802-a6f6-2b485b4957b0,One-off,NOI,202401,2024,1,435.0
d4676df2-cdf7-4ae1-a962-64784c2f5220,One-off,NOI,202401,2024,1,4795.0
6a97bcc8-e9fa-4cbd-a162-7737b936998d,One-off,WAT,202401,2024,1,12183.31
eb454aaf-4b8f-4678-aa94-a7bfbb9db0d1,One-off,WAT,202401,2024,1,3720.0
267c7cea-72f9-413f-bc85-b1087e94ecb0,One-off,WAT,202401,2024,1,1054.0
d6db141b-5ff6-4232-a99b-a302d41fffb4,One-off,WAT,202401,2024,1,1815.0
93db0f5a-c9ff-414d-aa89-ffa7e1d480b9,One-off,WAT,202401,2024,1,3025.0
d71c8c13-7c30-4a65-a460-43e68c8d684b,One-off,NOI,202401,2024,1,1495.0
559b0293-e235-496b-a45c-5029f6472388,One-off,WAT,202401,2024,1,6200.0
d47ab44c-8822-4853-a314-57b6b4d4b5e5,One-off,NOI,202402,2024,2,656.1
73972d4c-86b4-48e7-82b8-655580c83eb9,One-off,NOI,202402,2024,2,4795.0
5602edf8-efa6-4fe6-8946-5c3db9feb692,One-off,NOI,202402,2024,2,388.0
7c13dd2a-c412-4a3c-acb6-f7e50476aaf3,One-off,NOI,202402,2024,2,695.0
108d6105-77b4-415d-8efe-6b110ec6770e,One-off,NOI,202402,2024,2,-0.0
b6b0db4b-38b1-4f58-a648-ebeb004db012,One-off,WAT,202402,2024,2,1815.0
52bdec8a-2ab1-4f45-81ab-2d0481367218,One-off,WAT,202402,2024,2,2480.0
20634703-1848-4da6-9475-1724bb56bb6a,One-off,WAT,202402,2024,2,3720.0
14cf5dc1-dbe0-4469-ab9c-b224677baa6b,One-off,WAT,202402,2024,2,77.0
17adf535-e474-462e-a643-f943d2315dbf,One-off,WAT,202402,2024,2,1054.0
15d89008-6420-4058-a6b9-178e956980bf,One-off,WAT,202402,2024,2,11790.3
cac2b91d-f21a-4445-9e3e-9b84f4a65a9e,One-off,NOI,202402,2024,2,2023.0
6e593f2e-9fc0-4782-a234-1e7cbe37222b,One-off,WAT,202402,2024,2,1581.0
fdeeb541-7715-4a2c-b519-171467eba4de,One-off,WAT,202402,2024,2,1054.0
b575e10e-6651-4efd-b20d-23e61a90d3ba,One-off,WAT,202402,2024,2,15327.39
8706a168-ee74-4d82-a016-3359a68b392c,One-off,WAT,202402,2024,2,1683.0
b84c7c3d-4e82-4538-9c03-56f7e33eb9af,One-off,WAT,202402,2024,2,1054.0
f4c38897-e4ec-43ac-86dc-593a08e2fabe,One-off,WAT,202402,2024,2,922.25
3ddcc09a-56b1-49cc-a167-4aa505df63d1,One-off,WAT,202402,2024,2,297.5
82cbae46-18cb-4460-acb2-13d06e47ff06,One-off,WAT,202402,2024,2,16521.45
e6ee6deb-ccc7-4c36-9945-417560bfa110,One-off,WAT,202402,2024,2,3876.0
74b0d93c-f0ab-442a-974b-ed4431e44a19,One-off,WAT,202402,2024,2,1581.0
f06c3bed-39a0-4a33-8dd3-a30672da000f,One-off,WAT,202402,2024,2,25420.0
491b3409-8ee7-4040-958c-aae392900740,One-off,WAT,202402,2024,2,1240.0
d74f7017-91a4-4ade-a41b-c033f04355fa,One-off,WAT,202402,2024,2,2790.0
25667ecf-a17f-45ff-8fb4-cc9b9f74e608,One-off,NOI,202402,2024,2,-845.0
0e42e8f7-0e83-455a-aeb3-5b16fff8a68b,One-off,WAT,202403,2024,3,13020.0
51474026-9f27-4506-9960-e6725e509e51,One-off,WAT,202403,2024,3,1240.0
0de11fcb-0b6c-4204-bf15-3e2cbace4e18,One-off,WAT,202403,2024,3,4960.0
4ba4e741-1765-4b99-ac20-e4aeca67684f,One-off,WAT,202403,2024,3,-2021.22
c0f7f741-250d-4198-9deb-32f38fedce84,One-off,WAT,202403,2024,3,-617.54
77efbf80-5c23-420d-beeb-8fc280fd66aa,One-off,WAT,202403,2024,3,16480.4
04be3c5e-7d8b-46ae-bf9f-adc7df3b358b,One-off,WAT,202403,2024,3,527.0
3ae560fa-6e5f-4ca8-aef1-4bde74ffffbf,One-off,WAT,202403,2024,3,1581.0
1dc1eb08-057b-4d8d-bfe3-47fd2ccf0528,One-off,WAT,202403,2024,3,527.0
09a20fc4-365a-43b7-842d-2c2873785d9f,One-off,NOI,202403,2024,3,-0.0
06e54ec2-7d51-4672-b497-46dddf26f63a,One-off,NOI,202403,2024,3,511.41
e477d180-1f8d-4871-8d19-1e4dd676c14f,One-off,WAT,202403,2024,3,3100.0
5a4abb13-42ba-49dd-84d8-06cfa6e8116b,One-off,WAT,202403,2024,3,1240.0
b02f54c1-14d0-4bc2-b465-b78a58ee3576,One-off,NOI,202403,2024,3,845.0
9e92c81b-f3bf-41bd-8164-9fbad6513f75,One-off,WAT,202403,2024,3,1581.0
8bdc3cbb-8327-46ef-96c3-677724959bfd,One-off,WAT,202403,2024,3,2108.0
e6926ae4-9952-4843-b819-7a4d8f6a9b78,One-off,WAT,202403,2024,3,9300.0
0071d130-12b6-491a-8072-78e9250b2fb4,One-off,WAT,202403,2024,3,1240.0
07956ff3-860e-46c0-9c26-4bbbd2ab78a4,One-off,WAT,202403,2024,3,24800.0
